,产品
1325,S14高速
1326,高州一中
1327,韬珠宝
1328,"文昌宫
附城"
1329,铁路纪行
1330,同心桥
1331,天后宫妈祖庙
1332,全国野生动物保护科普教育基地
1333,东火车站
1334,覃福庙
1335,中邮手机城
1336,熹龙国际大酒店
1337,水东城区
1338,仙人阁
1339,华盖路步行街
1340,南粤诗社
1341,"五谷渔粉
文明路"
1342,北美洲
1343,大雾岭林场
1344,尼尔森岛
1345,"清晖园
清晖园"
1346,天河大瀑布
1347,iu酒店
1348,沈海高速限速
1349,电白沿海
1350,玉湖码头
1351,竹林绿道
1352,北洛度
1353,谷林主题体验
1354,绿荫路
1355,茂名碧桂园凤凰酒店
1356,"饮水思源
碉楼"
1357,"无界无忧
"
1358,海云台
1359,官渡片区
1360,湖心亭
1361,文章六星孝友千古
1362,名市博物馆
1363,茂名放鸡岛生态旅游国际度假区酒店
1364,八仙庙观
1365,路九曲十八弯
1366,湛江西站
1367,红树林西餐厅
1368,忠良社区党群服务中心
1369,企鹅酒店
1370,劝学公园
1371,茂名露天矿采矿场
1372,"阳江
"
1373,电白麻岗镇
1374,电白沙院
1375,好心湖生态公园
1376,南三联围
1377,兴盛酒业
1378,高州汽车总站
1379,外伶仃岛
1380,一南奥岛
1381,水东东湖公园
1382,"广东君元沉香医疗器械有限公司
"
1383,乐活新城的楼盘停车场
1384,"博贺港
博贺港渔村酒家"
1385,凯里亚德酒店(茂名电白万达广场店)
1386,御古水温泉度假村
1387,迎宾路
1388,论十大关系
1389,火车站
1390,吴川鼎龙湾
1391,珠海大道
1392,香港新悦餐厅
1393,粤龙山风景区
1394,网红朗誉酒店
1395,信宜学宫
1396,欢乐农场
1397,特呈岛温泉度假村
1398,防潮大堤
1399,甘婪水
1400,百越小
1401,东莞可园
1402,渡口码头
1403,艾美组团
1404,广东省龙舟协会
1405,新港区
1406,高品味总店
1407,海皇苑渔邨
1408,渔人码头
1409,"兴记鸭粥店
"
1410,君豪户外露营基地
1411,1959文化创意
1412,健康教育宣传长廊
1413,河表水库
1414,来源湾温泉
1415,网红瀑布
1416,凯里亚德酒店(茂名高铁站店)
1417,高州市第一小学
1418,顶公路
1419,霞山观海长廊
1420,喜来登度假酒店
1421,大象水上乐园
1422,彩印中心
1423,温德姆酒店
1424,广南西路
1425,中央气象台
1426,冼夫人庙
1427,成为粤西地区
1428,费雷站
1429,三五知己沙滩
1430,八仙庙
1431,浙江温州皮革厂
1432,"百越小镇

游船码头"
1433,仙龟潭
1434,国务院国资委
1435,5D玻璃
1436,"观音山
"
1437,电白沙琅
1438,君元药业
1439,林业部
1440,南华广场
1441,国家地质公园
1442,博贺港大酒店
1443,鼎龙湾公寓
1444,第三十二集团军
1445,行政服务中心
1446,南国大草
1447,布吉站
1448,阳江大澳渔村
1449,中医药局
1450,"沁香园艺
红旗街"
1451,滨海新区
1452,南海一
1453,水东开发区
1454,湛江市政府
1455,湛江市海湾大桥
1456,茂名茂南区
1457,大王古庙
1458,永久桥头
1459,茂名万达广场雅斯特国际酒店
1460,小垦丁灯塔
1461,佛开高速
1462,科普馆
1463,十二火
1464,325
1465,鉴江民俗菜馆
1466,广州市工商局
1467,茂名市委市政府
1468,省社会体育中心
1469,博贺湾大桥
1470,教育城大道清华园
1471,桑之宝酒业
1472,茂名市第四中学
1473,浪漫海岸沙滩
1474,江渔儿酸菜鱼（高州店）
1475,海滨浴场
1476,八坊村夜里
1477,天堂湖温泉度假山庄
1478,望海楼
1479,鸳鸯湖
1480,五邑大学
1481,大家乐
1482,暇趣廊
1483,孔昭顺美术馆
1484,鼎龙湾国际度假酒店
1485,沁香盆景
1486,Hello炸鸡（方兴店）
1487,童子湾渔村
1488,人民会堂
1489,民大喜来登酒店
1490,雨公庙
1491,金皇冠
1492,"泡鹿筋
森林公园"
1493,白龙村”卫生站
1494,东海岛
1495,椒王火锅（电白店）
1496,红旗北路
1497,露天矿采矿场
1498,企鹅公寓
1499,美食城外
1500,南海1号
1501,茂名市电视台
1502,茂名政府
1503,大地艺术公园
1504,南海街
1505,中国书法家协会
1506,雪森彭矿务公会
1507,特呈岛度假村
1508,"茂名
温德姆酒店"
1509,富丹尼斯
1510,黄晶果园
1511,圣域坊门
1512,乐活新城售楼部
1513,茂名御水古温泉
1514,尼甘布
1515,✨御水古温泉
1516,龙埚村
1517,罗定长岗坡渡槽
1518,渡琼作战指挥所
1519,苗寨餐厅
1520,清华城广场
1521,功德堂
1522,筑冼夫人庙
1523,一衣口田公司
1524,茂名地区
1525,高州石屏记
1526,黔西南
1527,闸坡商场
1528,霞海路北公交站
1529,4鸿丰猪肚鸡
1530,博物馆
1531,茂名零六六八公寓
1532,金鹿园
1533,中坳风
1534,湛江森林公园
1535,中医药管理局
1536,法兰度航空主题餐厅（东汇城店）
1537,同心公园
1538,鸡冠石
1539,中国第一
1540,国医大师
1541,琼州海峡
1542,维也纳国际酒店(茂名电白店)
1543,铭石楼
1544,大地音乐农庄
1545,油城五路
1546,古老渡街
1547,文笔塔公园
1548,分湖亭
1549,文武帝庙
1550,华和酒家
1551,河西路口
1552,浮山岭
1553,电城山
1554,冼夫人史迹陈列展览馆
1555,"御水古温泉
"
1556,放鸡岛海
1557,湛江梵高星空艺术馆
1558,北极熊
1559,文昌塔
1560,西江温泉度假村
1561,黄杨大道
1562,青山绿水民宿】
1563,广州巴厘岛
1564,海龙阁饼业
1565,茂名市博物馆
1566,冼太营地
1567,信宜古城
1568,广州市政府
1569,功成海尾果
1570,广州南站
1571,温德姆望海餐厅
1572,官渡校区
1573,阳江市区
1574,石花水洞长
1575,大槐网红服务区
1576,俱乐部
1577,鼎湖山
1578,阳江站
1579,博贺港酒店
1580,电白西湖公园
1581,水东忠良街
1582,水东镇大王古庙
1583,放鸡岛海上游乐世界
1584,【湖艳村
1585,大良镇清晖路
1586,新安贵妃”黄皮茶
1587,麦当劳（明湖店）
1588,鹤山镇
1589,化州汇嘉大酒店
1590,广东省体育总会
1591,架海灯塔
1592,河西市场
1593,一线天瀑布
1594,丹霞山国家地质公园
1595,旺禄民宿
1596,上山路
1597,观光圆塔
1598,大湛江
1599,鑫源酒店餐饮部
1600,]霞山渔人码头
1601,大仁山风景区
1602,长城湾
1603,赤坎头
1604,望海阁
1605,广州湾租界地
1606,丹霞山
1607,银信酒家
1608,麗枫酒店(茂名电白万达广场店)
1609,博贺码头
1610,藏龙湾
1611,景湾大酒店
1612,赤坎老街
1613,欢乐水乐园
1614,王志彬
1615,逸雅斋
1616,白梅桥
1617,游船码头
1618,版布达佩斯大饭店
1619,广州陈家祠
1620,高佬獒苑
1621,兰欧酒店(信宜绍秀体育馆店)
1622,天母殿
1623,沙扒湾奇乐摩天轮
1624,壹小馆
1625,台山步行街
1626,馀荫山房
1627,西湖西路
1628,香港新悦茶餐厅
1629,大仁山景区
1630,田头图书馆
1631,可口可乐时光馆
1632,油地公园
1633,敖伦苏木古城
1634,滘尾角灯塔
1635,大通街
1636,玉泉井
1637,海滨长廊
1638,花湖温德姆酒店
1639,巽寮湾
1640,寸金桥
1641,"星空帐篷
帐篷民宿"
1642,鹤地水库风景区
1643,绿海亭
1644,青洲岛
1645,广州大学
1646,龙宫岩
1647,温德姆浪漫海岸
1648,柳江河
1649,化州森思思酒店
1650,珠江口
1651,白荡湖滨
1652,鼎龙湾
1653,东方市海鲜码头
1654,鉴江河
1655,国民党首都卫戍司令部
1656,茂名石化
1657,"罗定长岗坡渡槽
"
1658,海滨二
1659,五山新校舍
1660,顺德火焰醉鹅坊（站北五路店）
1661,南海1号”宋代沉船水下考古工程
1662,"茂名碧桂园凤凰酒店
"
1663,陈罗古庙
1664,德育学校
1665,茂名金皇冠电器公司
1666,蓝月湾温泉
1667,陈氏宗祠
1668,茂名石化乙烯厂
1669,"深圳
广州"
1670,望海厅日出
1671,阳江春都温泉
1672,内陆河
1673,碧桂园凤凰酒店
1674,八一总场
1675,太夫人
1676,岭腰村
1677,电白区博物馆
1678,大赞∙炙烧寿司（万达广场店）
1679,海珠区
1680,鸳鸯湖公园
1681,上城市
1682,云吞店
1683,广东君元药业有限公司
1684,茂名市妇幼保健院
1685,天马山
1686,吴川鼎华湾海岸公寓
1687,地震博物馆
1688,顺德步行街
1689,高州乐天温泉度假
1690,虎头山海滨
1691,"母爱”
公园"
1692,电视塔
1693,深圳墟
1694,虎头山
1695,古郡水城
1696,吕祖殿
1697,新湖公园
1698,林头高速路口
1699,霞山天主教堂
1700,风雨亭桥
1701,友情有意音乐餐厅
1702,农家乐
1703,中央电视台
1704,高佬牛杂
1705,见识官渡公园
1706,乐天大道1号
1707,钱排镇
1708,官渡路
1709,艺术公厕
1710,丰泽园
1711,麒麟瀑布
1712,湛江人民抗法斗争陈列馆
1713,喜头村
1714,国道旧广海北路
1715,莲花山
1716,网红水晶教堂
1717,广东高州师范学校
1718,海景酒店
1719,圣女果园
1720,第一滩
1721,中山亭
1722,必胜客
1723,黑色经典长沙臭豆腐（为民路店）
1724,蓝袍湾
1725,信宜莲花湖温德姆酒店
1726,水东客运站
1727,水东西湖公园
1728,煲珠霸（中山路店）
1729,敖伦苏木
1730,竹林延河
1731,城市便捷酒店(茂名学府店)
1732,信宜市民宗局
1733,鉴江桥
1734,地铁2号线嘉禾望岗－广州南站(
1735,沙滩码头
1736,广垦（茂名）国家热带农业公园
1737,九树农庄
1738,清吧酒廊
1739,邻水东湾大桥
1740,阳西咸水矿温泉度假村
1741,白水瀑布
1742,三亚酒店
1743,同盟会
1744,绿杨蛋鸡场
1745,冼太殿
1746,野生动物救护研究中心
1747,宏福山庄
1748,滨海新区管委会
1749,水口服务区
1750,珠海九洲港
1751,"电白沉香协会
"
1752,中山路
1753,孙中山故居纪念馆
1754,椰子村
1755,秀英港
1756,九曲景桥
1757,梧州西江机场
1758,城市便捷酒店博賀放雞島店】
1759,保利东湾
1760,林头镇
1761,高州路安
1762,长坡旧城
1763,人民广场
1764,沉香文化博物馆
1765,牙象村党建广场
1766,北京人民大会堂广东厅
1767,高州仙人洞风景区
1768,茂香面包坊总店
1769,南国草原
1770,海南摩旅
1771,海上丝绸之路史展厅
1772,水东湾红树林湿地景区
1773,黑沙湾
1774,仙人洞番薯
1775,云开畔溪
1776,九里香农庄
1777,207国道镇隆加油站
1778,石龙庙观音殿
1779,冯氏宗祠
1780,海龟城
1781,植物园动物园儿童乐园
1782,风沙带
1783,周黑鸭（东汇城店）
1784,玉林地区
1785,发展区
1786,"广东君元沉香山食品有限公司
"
1787,咀香楼
1788,庐山东林寺
1789,百灵庙镇
1790,尚客优连锁酒店(茂名高铁火车站店)
1791,"覃福庙
覃福庙"
1792,→粤龙山风景区
1793,高州府
1794,顺政郡君
1795,医科大学
1796,白石镇
1797,北京人民大会堂
1798,市政府
1799,兴记鸭粥店
1800,湛江吴川
1801,湛江西客站
1802,石龙庙
1803,铁骑大队
1804,胡桃里音乐酒馆
1805,竹海滑道
1806,情人桥
1807,崆峒岩风景区
1808,雷琼地质公园
1809,香遇爱
1810,茂湛高速
1811,徒步镇东街
1812,高新区
1813,博贺湾
1814,广湛高速织篢
1815,生态科普湿地
1816,中国第一滩公路
1817,保利花园
1818,行水东湾海洋公园
1819,洗夫人庙
1820,半月岛
1821,"水东湾
水东湾跨海大桥"
1822,小乔紫菜卷（小乔店）
1823,海洋公园酒店
1824,合水镇
1825,民国县署
1826,南海1号一号银滩（十里银滩）
1827,马尾山
1828,鳌头古镇
1829,仙故里超市寺
1830,西湖王占鳌广场
1831,横山庙牌
1832,中共电白支部
1833,菠斯蒂蛋糕
1834,帕拉图西餐酒廊（华侨城店）
1835,研发部
1836,中共高州市古丁镇委员会
1837,盘山路
1838,神仙泉
1839,观海亭
1840,15沈海高速
1841,海上丝绸之路博物馆
1842,雅米兔钟楼冒险乐园
1843,仙人洞村
1844,澄波街
1845,湛江红树林国家级自然保护区
1846,茂名露天矿
1847,海林岛
1848,彩虹瀑
1849,孩子学校
1850,"罗村生态农庄
喜德盛"
1851,早餐店
1852,325国道
1853,电白区
1854,森高赵帅府庙
1855,府前路
1856,开发区
1857,翡翠池
1858,军港码头
1859,高州站
1860,南国公园
1861,滨临水
1862,高州城区
1863,闸坡港
1864,佛光沉香山生态旅游区
1865,[德萨斯水世界
1866,澳内海村
1867,望海温泉
1868,出信宜车站
1869,人民大会堂
1870,鼎龙湾德萨斯水世界
1871,高州仙人洞一日
1872,高州平江大桥
1873,大石桥
1874,七彩滑道
1875,大沙滩
1876,横山庙
1877,德校区
1878,🌊浪漫海岸度假区
1879,广东省民政厅
1880,博贺港码头
1881,玛珥湖
1882,至尊比萨（电城旗舰店）
1883,"浪漫海岸温德姆酒店水上乐园
草坪"
1884,茂名途遇精品酒店
1885,看美团
1886,抗日战争展馆
1887,"茂名站
冼珍"
1888,石根山风景区
1889,海陵岛红树林国家湿地公园
1890,欢乐水世界
1891,咨询台
1892,玉井亭
1893,高山社区
1894,无边际水池
1895,敏捷欢乐黄金海岸
1896,南极南
1897,春苑公园
1898,椰子陈氏宗祠
1899,西餐厅
1900,乌石天成度
1901,护城河
1902,高州图书馆
1903,海上絲綢之路博物館
1904,广东省书法家协会
1905,同心园
1906,东门豆芽粉
1907,水东忠良街东
1908,阳江海陵岛恒大夏威夷御海公寓酒店
1909,"塘坑青山坡
同心公园"
1910,桥梁博物馆
1911,中国建筑集团
1912,中国第一滩
1913,信宜漂流
1914,素水赤嘴
1915,四合院
1916,轻住·悦享酒店
1917,环城路
1918,绍秀体育馆
1919,阳江赤嘴电车路
1920,石秀山
1921,麗枫酒店(茂名高铁站店)
1922,电白海
1923,长岗坡渡
1924,彩虹瀑打卡
1925,横山渡口
1926,县政府
1927,闸坡国家中心渔港
1928,滨海开发
1929,东风市场
1930,网红栈道
1931,"大洪国皇宫旧址
"
1932,茂名雅米游乐园
1933,徐闻港口码头酒店
1934,东明猪杂汤
1935,街道）
1936,大同街
1937,烈士陵园
1938,信宜莲花湖庄园
1939,梦幻水晶教堂
1940,荷兰风车
1941,游客服务部
1942,冰雪游乐园
1943,"二号馆
高山镇，富坡村
九树生态美食农庄"
1944,钱太庙
1945,鉴江平原
1946,茂名港
1947,崖门渡口
1948,电白水东六韬珠宝
1949,沿江一至八号码头
1950,儋州快递
1951,仙湖美食街
1952,放鸡岛码头
1953,赤坎民国风情街
1954,春都温泉
1955,化州糖水店
1956,旺同公园
1957,禾雀花广场
1958,水东红树林栈道
1959,铁帽山
1960,—潭屋村
1961,207国道
1962,山海鱼庄
1963,东南门
1964,嘉禾望岗
1965,果之度（为民店）
1966,拖尾沙滩
1967,好心茂名”
1968,国家海洋公园
1969,市电视台
1970,人民大会堂大厅
1971,希尔顿酒店
1972,君元沉香山中药饮片有限公司
1973,柏桥电商
1974,信宜市康源农业公司
1975,十里银滩国家级海洋公园
1976,田间图书馆
1977,杏福田园
1978,龙眼公园
1979,电白水
1980,珠三角地区
1981,南国植物大观园
1982,工作局
1983,鳌头文武帝庙
1984,广东省省级研学基地
1985,荔枝桥
1986,CAKE情迷黑森林
1987,海陵岛景区
1988,平云山脉
1989,荷花温泉轨迹
1990,成都博物馆
1991,九江大桥
1992,水东港区
1993,红树林湿地公园
1994,幸福大院
1995,阳江大
1996,龙光御海湾
1997,牛仔小
1998,电白区电城山兜
1999,招义山
2000,国民党
2001,深圳湾
2002,"迎宾路
"
2003,南奥岛
2004,高州仙人洞
2005,德明中学
2006,雪兰莪中华总商会
2007,电白城区
2008,梦田山
2009,高州仙人洞自然
2010,牙象稻田公园
2011,东南沿海
2012,茂名浪漫海岸温德姆酒店望海餐厅
2013,龙氏数代龙应时
2014,游九江庐山
2015,玉龙山
2016,"雅米游乐园
传声筒"
2017,113省道
2018,宜大田顶
2019,漳州火山岛
2020,红树林栈道
2021,熹龙酒店
2022,"高州
高州
"
2023,中国国民党
2024,九间品牌体验店
2025,三亚西岛
2026,广东酒店
2027,高美酒店
2028,茂名恒运商务酒店
2029,鸡头奇石
2030,鳌头合岗鸭粥
2031,横琴湾酒店
2032,龙珠河
2033,岛中岛
2034,那达慕会场
2035,山合村
2036,碧海银滩
2037,海东度假村
2038,香港沉香科技国际（集团）有限公司
2039,恒大地产
2040,棒子炸鸡•脆鸡饭（传湾新天地店）
2041,茂名荔枝博物馆
2042,二月时光烘焙坊（华夏世纪花园店）
2043,"凤书院
陇西书院"
2044,地震馆
2045,沉香博物馆
2046,今浮山岭半山腰
2047,三星岛
2048,虎门大桥
2049,茂名火车站广场
2050,信宜文体旅广
2051,"桂林
"
2052,鼎能苑
2053,广州南海神庙
2054,萌宠鹦鹉乐园
2055,广东海洋大学
2056,"卡兴记鸭粥
捞粉
鸭"
2057,布达佩斯大饭店
2058,旅游局
2059,江滨公园
2060,龙虎客栈
2061,第三十七军
2062,黑马俱乐部
2063,空中漂流
2064,雪兰莪广东会馆
2065,霞山海
2066,—金沙湾观海长廊
2067,西樵镇
2068,大黄鸭游船
2069,茂名海豚酒店
2070,信宜朗誉酒店教育城
2071,君元沉香山种植有限公司
2072,玉花小径
2073,城北车站
2074,鼎龙湾国际海洋度假区
2075,森林公园
2076,南极中山站
2077,咸水温泉
2078,御品豆花（宾南路店）
2079,试验区
2080,香港电车线
2081,北洛湾
2082,千岛湖
2083,永州服务站
2084,云岫仙景
2085,观山景区
2086,果·町·果汁·果茶（金港湾店）
2087,博贺渔港
2088,城市客厅
2089,坡仔境主庙
2090,中交天航局
2091,十里长滩
2092,浪漫河
2093,国际大酒店
2094,奥内海
2095,泡脚温泉
2096,三甲镇
2097,黄埔军校
2098,信宜火车站
2099,电白红树林（市级）自然保护区
2100,茂名河西汽车站
2101,"冼夫人
保利花园"
2102,雨公山道院
2103,附郭县
2104,黄华江
2105,中药材
2106,张家界玻璃桥
2107,"茂名碧桂园凤凰酒店
酒店"
2108,东巴厘岛
2109,维也纳酒店
2110,萨克斯水世界
2111,"茂名
博贺港口"
2112,益华大酒店标准
2113,谢鸡镇
2114,航运厅
2115,玉泉寺
2116,茂名市第六中学
2117,方钧明集团
2118,茂名碧海湾酒店
2119,宝光塔
2120,"梅兰竹菊
桥头"
2121,于八一总场
2122,渔港码头
2123,呈望海楼酒店
2124,水上教堂
2125,尊宝比萨（康泰又一城店）
2126,5A景区
2127,官渡街道
2128,阳江服务区
2129,黄金海滩
2130,银记甜品
2131,83省道
2132,仙人洞禾雀广场
2133,中国海军
2134,"黄金粥
"
2135,阳元石
2136,歌美海
2137,高铁南站店
2138,交通银行
2139,红旗街道
2140,中山顺德
2141,巴厘岛
2142,眼镜塘
2143,喜姐炸串（新天地店）
2144,大洪国皇宫
2145,线他湾
2146,浪漫海岸度假区
2147,湛江北大附中旅游研学团
2148,水东港
2149,"知青园
"
2150,优悦西餐厅（维斯顿店）
2151,名森林公园
2152,晏镜岭
2153,罗定江
2154,金沙湾海滩
2155,码头酒店
2156,"先锋岗
红旗南社区"
2157,中国美术馆
2158,田园寨
2159,和泰沉香
2160,得兰群岛
2161,信宜朗誉酒店
2162,"好心公园
"
2163,住御水古温泉度假村
2164,台山赤嘴
2165,飞龙寺
2166,湛江红嘴鸥游船
2167,文明路
2168,"沉香山沉香发展有限公司
"
2169,石头记餐厅
2170,企事业为单位
2171,仙朗君豪星空帐
2172,茂名港港区
2173,中心区
2174,龙阁饼业
2175,中国石油
2176,游客中心
2177,高凉古城
2178,六角亭
2179,露天矿博物馆
2180,鼎龙湾国际度假区
2181,国务院
2182,青州岛
2183,大众点评
2184,业余体校
2185,世界中医药学会联合会骨伤科专业委员会
2186,信宜石根山
2187,茂名水东湾
2188,工业明珠乙烯厂夜景
2189,椰风海岸
2190,天师庙
2191,长岗坡
2192,斜阳西下
2193,茂名人民广场
2194,茂名华景商务酒店
2195,红树林自然保护区
2196,天成度假村
2197,情人岛
2198,民政局
2199,保利银滩浴场
2200,南国第一洞府
2201,小区（行政村）
2202,岭南山
2203,大仁山村
2204,林情人
2205,陈罗巷
2206,鹿嘴山庄
2207,中共中央
2208,"雅米游乐园
植物迷宫"
2209,乐天大道
2210,南皋学舍
2211,闸坡大角湾景区
2212,东方民间艺术之宫
2213,华海酒店(茂名高铁站店)
2214,浮山岭山
2215,恩平恒大温泉酒店
2216,尚客优连锁酒店(信宜银湖路店)
2217,长岗坡纪念馆
2218,碧桂园集团
2219,龙门石窟
2220,博贺港
2221,考拉馆
2222,广州站
2223,珍珠沙滩酒店
2224,珠海大桥
2225,"桥头葱煮饼
桥头村，河臣村"
2226,杨公堤
2227,文光中路
2228,10.3
2229,广东阳江
2230,树林景区
2231,茂名宏悦大酒店
2232,大广坝
2233,横山灵王庙
2234,"观鸟阁
科普宣传栈道"
2235,恒大夏威夷公寓
2236,天马阁餐厅
2237,八仙观
2238,"山盟海誓
沙滩"
2239,八坊广场
2240,"旺同竹林
旺同竹林"
2241,移动别墅，星空帐篷
2242,八角林
2243,旅游岛
2244,"御水古温泉
御水古温泉
御水古温泉"
2245,乐天冰泉
2246,冼夫人文化园
2247,红海湾
2248,吴阳金海岸沙滩
2249,温德姆酒店大堂
2250,茂名水东湾大桥
2251,百灵庙
2252,茂名观海楼假日酒店
2253,怡然之家
2254,龙头山海湾
2255,东南码头
2256,付记·招牌酸菜鱼
2257,高州平云山
2258,万里长城
2259,环湖路
2260,雅居乐乐活新城
2261,太平境
2262,租车中心
2263,阳江闸坡大角湾
2264,报德祠
2265,谢鞋山
2266,旅游质量质监所
2267,高州火车站
2268,林伟龙武馆
2269,石林瀑布
2270,"茂名西站
高州站"
2271,花园别墅
2272,八艺轩
2273,海陵岛国家海洋公园
2274,茂石化港口站
2275,汶川大地震博物馆
2276,茶亭石林古郡水城潘州画院
2277,八路军
2278,海滨二路
2279,玻璃观光栈道
2280,广东海
2281,凤凰酒店
2282,阳江大角湾
2283,电白县
2284,澄宇智库
2285,市教育局
2286,中国南极科考站
2287,南桥南路
2288,中国沉香森林公园
2289,好河山
2290,粮食装卸码头
2291,电城山兜冼夫人墓园
2292,水东镇东阳街
2293,乔治王岛
2294,水榭歌台
2295,南山寺
2296,山坪村委会热水村野外温泉
2297,祖庙建筑群
2298,右联
2299,镇隆古城
2300,佛山高明区
2301,官渡桥
2302,植物迷宫
2303,离闸坡渔港
2304,茂名浪漫海岸温德姆酒店
2305,黑马小筑
2306,地球角落
2307,茂名国际大酒店
2308,茂名卓钰精品酒店
2309,大润发
2310,官渡区
2311,村委会文化室
2312,肯德基
2313,老鼠山
2314,茂名学院
2315,盖尔谢海峡
2316,"李氏宗祠
"
2317,"荔园
高佬獒苑"
2318,苍海公园
2319,赤岭—
2320,中山故居纪念馆
2321,中国电信茂名分公司网络二支部
2322,观锦江
2323,大泉都温泉
2324,金山银山
2325,中国中医科学院
2326,塔斯汀中国汉堡（民主店）
2327,高州明悦宾馆
2328,绿海路
2329,"韦陀菩萨
"
2330,茂名市政府
2331,省体育总会
2332,西部沿海高速
2333,摩天轮
2334,湖畔萌宠乐园
2335,"奇石
山顶"
2336,窦州古城
2337,仙湖驿站
2338,马尾岛
2339,州府县治所
2340,筑海景湾大酒店
2341,云岫庙
2342,水东湾炮台
2343,跨江大桥
2344,世界中医药学会联合会
2345,西南沿海
2346,大车坡村
2347,观海假日酒店
2348,南越王墓纪念馆
2349,御水谷温泉
2350,北部湾
2351,金沙博物馆
2352,漠阳楼
2353,西南面
2354,韶关丹霞山
2355,大王庙门
2356,镇中心小学
2357,碧桂园月亮湾
2358,"木头塘
稻香汉堡"
2359,中央冲浪区
2360,北宋元丰年间
2361,"上海世博永久展览馆
"
2362,幸福店
2363,镇隆墟桥
2364,后进殿堂
2365,虎头山沙滩
2366,柴达木盆地
2367,入火韩国烤肉（华侨城店）
2368,广东省青少年科技教育基地
2369,华海酒店幸福楼
2370,丛林苑酒店
2371,浪漫海岸海鲜城
2372,茂名熹龙国际大酒店
2373,禾雀花广场区
2374,茂名油页岩露天矿
2375,太阳部落大陂生日宴
2376,解放军
2377,海滨浴场区
2378,百草厅
2379,鼎龙集团
2380,万城午餐
2381,水上婚礼教堂
2382,禧荟一城水东鸭粥品
2383,迎宾路示范街
2384,佛山高速雅瑶服务区
2385,小巴厘岛
2386,特呈岛
2387,矿坑公园
2388,黄姚古镇
2389,海陵岛国家级海洋公园
2390,小东江
2391,遇见桃园烤鱼（新福路店）
2392,高佬峰随心所院感触
2393,萌宠乐园
2394,吴川蛤岭第三届
2395,达陈氏宗祠
2396,放雞島碼
2397,水东兴记鸭粥店
2398,冼夫人
2399,阳江沿海
2400,茂名茂南高山九树公寓
2401,土鸡店
2402,"文昌君
雨公庙"
2403,高州茶亭
2404,电白县志
2405,湛江旅行
2406,渔乐码头烤鱼牛蛙晚饭餐厅
2407,七海旋律餐厅
2408,义山水利管理所
2409,海平线
2410,三角圩
2411,御古水温泉度
2412,设得兰群岛
2413,昭顺美术馆
2414,维也纳国际酒店(茂名万达广场店)
2415,襟江亭
2416,天河市区
2417,冼恩湖
2418,马丽电站
2419,月亮湾滨海度
2420,鼎龙湾高尔夫度假村
2421,沙琅江源
2422,水东湾大桥
2423,第一滩观海台
2424,禧荟一城
2425,"湛江公共自行车世贸大厦租赁点
小店"
2426,民国风情街口
2427,菊姐酒楼
2428,茂名玉湖
2429,脚303，不堵车的情况下90分钟
2430,莲花湖庄园
2431,广东厅
2432,浪漫海岸景区
2433,金三角
2434,大角湾景区
2435,谢鲁山庄
2436,省立中山中学
2437,沙滩玩海
2438,樟古小学
2439,美嘉华旅游开发有限公司
2440,"好沙发
"
2441,高州古城
2442,茂名信宜教育城店
2443,湛江公共自行车世贸大厦
2444,双亭桥
2445,榄钱红树林群落
2446,茂名南越印象岭南文化主题酒店火车站店
2447,浪漫海岸广告牌
2448,易成风
2449,中央政府
2450,安踏篮球公园
2451,吴川站
2452,东南亚
2453,卡雅米乐园
2454,茂名汽车站
2455,旺同竹林】
2456,中顾委
2457,赤坎市区
2458,八仙道
2459,信宜段
2460,野菠萝公园
2461,汉宫传承隆江猪脚饭（上排垌店）
2462,螺岗小区
2463,茂名专场
2464,观海长廊
2465,咸水矿温泉
2466,维也纳3好酒店(茂名沿江大厦店)
2467,廉江植物园
2468,茂名君悦商务酒店
2469,大马戏表演
2470,陈维远
2471,中国人民解放军
2472,儋州石花水洞地质公园
2473,观海楼酒店酒店
2474,谢鲁山庄风景名胜区
2475,佛祖潭
2476,南海明珠
2477,梦幻城堡
2478,望海沙浴体验
2479,寸金桥桥
2480,柳州游泳池
2481,广州湾
2482,俄贤岭山脚
2483,清云路
2484,中国荔枝博物馆
2485,浪漫海岸（Romanticcoast）旅游度假区
2486,信宜莲花湖庄园景区
2487,大连美罗集团中药厂有限公司
2488,防波堤
2489,阳春鸡
2490,高大街美术馆
2491,鼎悦公寓套票
2492,浪漫海岸国际旅游度
2493,惠州西湖
2494,海陵岛沙扒湾
2495,"巷口大坡
"
2496,博贺湾大道
2497,电白东湖公园
2498,艳藏龙湾
2499,发改委
2500,稻田公园
2501,博贺弯大桥
2502,"轿子
村庙"
2503,幸福摩天轮
2504,浪漫海岸温德姆酒店
2505,海滨度假区
2506,深茂高铁
2507,游击队
2508,台山市政府大楼
2509,大同荔园
2510,海滨公园游乐场
2511,雅米游乐园
2512,螺岗岭
2513,高州市人民政府
2514,秀峰景区
2515,港澳台地区
2516,开平市潭江半岛酒店
2517,南海区
2518,"豪爵摩托
体育中心"
2519,旭日阁
2520,省龙舟协会
2521,矿好心湖生态公园
2522,阳西月
2523,【法式洋楼
2524,海鸥大饭店
2525,南国热带公园
2526,优之品西点
2527,咏风亭
2528,湛江港
2529,泰沉香
2530,观世音
2531,南海街道
2532,电白麻岗镇热水水库
2533,石门古庙
2534,信步东海岸
2535,水古温泉景区
2536,湛江霞山海滨长廊
2537,得福私房
2538,山兜村
2539,健身沙池
2540,信宜市教育城初中
