,语料ID,产品名称,内容,年份,sn_ner,hb_ner
452,餐饮评论-2630,爵士厚牛排自助餐馆（汇丰店）,"太好吃了，牛排做的非常好，黑椒汁也挺不错。也有许多饮料，666666666666666666666666666666666666666666666666666666666666666666666666
火焰牛排1份，有赠品",2020,set(),set()
453,餐饮评论-2631,清香面包店（车田街店）,"作为6年老客户，原本以为店主老实，还是自己太信人！味道越来越差，服务一般，价格也就那样
5磅水果夹心蛋糕1份",2020,set(),set()
454,餐饮评论-2632,元晟坊蛋糕（南香公园店）,"这次就餐整体感觉很赞，比较满意的方面有：口味不错。
蛋挞1个，提供免费WiFi",2020,set(),{'WiFi'}
455,餐饮评论-2633,螺香汇·柳州螺蛳粉（官渡二路油校店）,"还行，这次要的微辣，让后厨把口味做淡点
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
456,餐饮评论-2634,螺香汇·柳州螺蛳粉（官渡二路油校店）,"还行，这次要淡了点口味，微辣的
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
457,餐饮评论-2635,爱可咖啡馆（茂南店）,"服务态度很好，场地很不错！！！超赞的
爱可轰趴包场套餐1小时",2020,set(),set()
458,餐饮评论-2636,顺德火焰醉鹅坊（站北五路店）,"鹅肉咬不动啊！我和我老公吃完塞牙塞的抓狂，是我们打开方式不对吗？真的完全咬不动肉。味道还行，偏南方口味，也就是说基本没什么味道。个人觉得不适合北方人的口味。吃的特别艰难，唉…三星给服务员吧
3-4人火锅套餐",2020,set(),set()
459,餐饮评论-2637,优悦西餐厅（维斯顿店）,"总体来说还不错，就是牛扒里没有配点意粉或米饭什么的，每个西餐厅里吃牛扒都会配点意粉。不知道是因为 美团套餐才不配意粉还是全场不配… 今天上菜慢了！…
高级2人扒餐，提供免费WiFi",2020,set(),set()
460,餐饮评论-2638,果之度（为民店）,"分量还算可以，就是没榴莲味，一般般
榴莲千层蛋糕1个，约2磅，圆形",2020,set(),set()
461,餐饮评论-2639,顺德火焰醉鹅坊（站北五路店）,"这次就餐整体感觉很赞，比较满意的方面有：配菜合理、口味不错、份量充足、环境优美、菜品丰富、服务到位。
6人套餐，提供免费WiFi",2020,set(),{'WiFi'}
462,餐饮评论-2640,尊宝比萨（康泰又一城店）,"在尊宝披萨最喜欢就是苏丹王的了，那个味道真的不要太香！酸甜可口的菠萝！可惜，没有海盐奶盖那个饮料！每次去都不做不知道为啥！次次去都说季节性！从去年11月问到今年7月也还是没有。有点失望。。。。。。。。
苏丹王黄金果肉榴莲比萨(10吋)1份",2020,{'苏丹王'},set()
463,餐饮评论-2641,相聚时光（光明店）,"好吃经常和家人来服务员小哥哥态度很好
超值抢购单人套餐",2020,set(),set()
464,餐饮评论-2642,螺香汇·柳州螺蛳粉（官渡二路油校店）,"很满意的一次就餐体验，整体评价的话我觉得：口味不错、服务到位、菜品丰富、环境优美、份量充足、配菜合理。
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
465,餐饮评论-2643,螺香汇·柳州螺蛳粉（官渡二路油校店）,"挺好吃的，就是店里的气味不清新，没有经常开门换气
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
466,餐饮评论-2644,螺香汇·柳州螺蛳粉（官渡二路油校店）,"好吃，味正
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
467,餐饮评论-2645,螺香汇·柳州螺蛳粉（官渡二路油校店）,"已帮衬4次了
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
468,餐饮评论-2646,鲜饮时光（高州店）,"软玉温香嚼米线，琼汁甘露饮高汤。2、软硬兼施，老少咸宜，甜辣皆适，色香俱佳。3、面如金玉质，汤似琼瑶波，拉煮虽捷速，香涎已流多
尝鲜单人餐，可免费使用包间",2020,set(),set()
469,餐饮评论-2647,爵士厚牛排自助餐馆（汇丰店）,"我只能说，越做越差，服务什么的不改善，不会在去，东西现在也越来越难吃，饮料机也是坏的…没人修，叫了好几个服务员去弄，没有下文，服了，想喝口可乐美年达的喝不到，最后喝了点热饮，这大热天地喝喝热饮，你妹的…没下次了
火焰牛排1份，有赠品",2020,{'东西'},set()
470,餐饮评论-2648,优悦西餐厅（维斯顿店）,"不错，最好优惠力度再大些比较好
高级2人扒餐，提供免费WiFi",2020,set(),set()
471,餐饮评论-2649,优悦西餐厅（维斯顿店）,"约会不错
豪华2人扒餐，提供免费WiFi",2020,set(),"{'WiFi', '豪华'}"
472,餐饮评论-2650,优悦西餐厅（维斯顿店）,"环境不错
高级2人扒餐，提供免费WiFi",2020,set(),set()
473,餐饮评论-2651,优悦西餐厅（维斯顿店）,"服务也不错
精致享受单人餐，提供免费WiFi",2020,set(),{'WiFi'}
474,餐饮评论-2652,优悦西餐厅（维斯顿店）,"经常吃
100元面值代金券1张，可叠加",2020,set(),set()
475,餐饮评论-2653,甜在心扉千层蛋糕（茂名店）,"这次就餐整体感觉很赞，比较满意的方面有：口味不错、份量充足。
约3磅（双层版）榴莲千层蛋糕1个，约3磅，圆形",2020,set(),set()
476,餐饮评论-2654,甜在心扉千层蛋糕（茂名店）,"还挺好吃的，就是有点甜，门前也比较好停车
千层榴莲1磅1个，约1磅，图形",2020,set(),set()
477,餐饮评论-2655,螺香汇·柳州螺蛳粉（官渡二路油校店）,"#套餐：原味螺蛳粉（粗粉/米线/面条 三选一）吃了一晚上都在拉肚子。。。再也不敢去了
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
478,餐饮评论-2656,Hello炸鸡（方兴店）,"很满意的一次就餐体验，整体评价的话我觉得：口味不错、份量充足、服务到位、菜品丰富、环境优美。
韩式炸鸡7选1，提供免费WiFi",2020,set(),set()
479,餐饮评论-2657,果之度（迎宾三路店）,"非常好哈哈，味道好吃！
榴莲千层蛋糕1个，约2磅，圆形",2020,set(),set()
480,餐饮评论-2658,优之品西点,"味道不错，够四人吃
蛋糕6选1,约6英寸，圆形",2020,set(),set()
481,餐饮评论-2659,Hello炸鸡（方兴店）,"【口味】想试一下咖喱系列的，但是说是早上卖完了，看来下次要早点去。炸鸡点了双拼口味蜂蜜芥末+韩式烧烤，个人比较喜欢蜂蜜芥末。脆脆的，味道还不错奶茶稍微有点偏甜了。【环境】在巷子里，不难找，但是店面比较小，不过装修挺好看的，也很干净。在店里的时候还刚好看到外面有人遛柯基【服务】老板娘小姐姐态度超级好，很热情也很可爱哈哈哈，祝生意越来越好！
杰伦同款奶茶2选1",2020,set(),{'杰伦'}
482,餐饮评论-2660,Hello炸鸡（方兴店）,"老板娘人挺不错的，炸鸡我点了榴莲芝芝，和抽子口味，感觉味道帅极了！值得推荐
韩式炸鸡7选1，提供免费WiFi",2020,set(),set()
483,餐饮评论-2661,果之度（为民店）,"此次用餐总体来说不错，觉得比较认可的地方有：口味不错。
榴莲千层蛋糕1个，约3磅，圆形",2020,set(),set()
484,餐饮评论-2662,果之度（为民店）,"好吃，有层次
榴莲千层切件蛋糕1件",2020,set(),set()
485,餐饮评论-2663,相聚时光（光明店）,"好
单人扒餐，提供免费WiFi",2020,set(),{'WiFi'}
486,餐饮评论-2664,十七门重庆老火锅（电白万达店）,"进店以后找领班要盒纸巾他非要等菜一起下单才上，态度差，还不如服务员，又不是不给钱，只是带小孩子需要急用纸巾，要先让有那么难吗，以后都不会去了。
100元代金券1张，可叠加2张",2020,set(),set()
487,餐饮评论-2665,Hello炸鸡（方兴店）,"本人比较懒很少会评价的，但这家店必须安利一下！！！店主热情服务态度好，店面装饰虽然小但是很精致，我的少女心啊有被治愈太可了！炸鸡很好吃，甜辣味道的推荐一波哈哈哈，干净整洁，这环境吃的放心，也好适合拍照打卡，麻雀虽小五脏俱全，太棒啦，本次消费非常开心必须安利一下，祝商家越做越好！
韩式炸鸡7选1，提供免费WiFi",2020,set(),set()
488,餐饮评论-2666,螺香汇·柳州螺蛳粉（官渡二路油校店）,"服务周到又热情
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
489,餐饮评论-2667,源丰唐茶楼（电白万达广场店）,"出品不错，味道还可以
100元代金券1张，可叠加2张",2020,set(),set()
490,餐饮评论-2668,瀛食精致料理,"好吃就完事，环境也不错，厕所都很干净还喷了香水儿
单人套餐B，提供免费WiFi",2020,set(),{'WiFi'}
491,餐饮评论-2669,元晟坊蛋糕（南香公园店）,"五星
奶茶5选2，提供免费WiFi",2020,set(),{'WiFi'}
492,餐饮评论-2670,元晟坊蛋糕（南香公园店）,"店长姐姐超好看超可爱的 服务很好 会再次光顾的
蛋挞1个，提供免费WiFi",2020,set(),{'WiFi'}
493,餐饮评论-2671,螺香汇·柳州螺蛳粉（官渡二路油校店）,"好吃好吃好吃 好正宗的螺蛳粉的味道，放的是通菜，汤底很好喝
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
494,餐饮评论-2672,螺香汇·柳州螺蛳粉（官渡二路油校店）,"便宜大碗好吃，小料免费加，可
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
495,餐饮评论-2673,Hello炸鸡（方兴店）,"奶茶还不错，老板娘很热情，比较推荐抹茶味的
杰伦同款奶茶2选1",2020,set(),{'\n杰伦'}
496,餐饮评论-2674,瀛食精致料理,"我形容不了有多好吃的感觉，但是会一次一次的点餐，小孩子很喜欢。材料很新鲜，店家服务态度好好！一般我都是买套餐啦，又好吃又省钱！
豪华寿司船，建议6-8人使用",2020,set(),{'豪华寿司船'}
497,餐饮评论-2675,小乔紫菜卷（小乔店）,"真的很不错，很喜欢吃，经常过来。小孩也很喜欢吃。我是他们家的常客了，经常吃的，也很喜欢那个八爪鱼也挺好吃，老板娘也很很好说话。
紫菜肉松卷1份，提供免费WiFi",2020,set(),{'WiFi'}
498,餐饮评论-2676,小乔紫菜卷（小乔店）,"这是我最喜欢的一款紫菜卷。很喜欢吃这家的老板娘也很很好说话，我经常过来这边。
北海道八爪鱼1份",2020,set(),set()
499,餐饮评论-2677,小乔紫菜卷（小乔店）,"不错，值得选择
紫菜肉松卷1份，提供免费WiFi",2020,set(),{'WiFi'}
500,餐饮评论-2678,清香面包店（车田街店）,"很好吃
蛋糕3选1",2020,set(),set()
501,餐饮评论-2679,相聚时光（光明店）,"超级不错套餐，味道也很好。
酸菜鱼超值套餐，建议6人使用",2020,set(),set()
502,餐饮评论-2680,相聚时光（光明店）,"超级一般吧。。。就是柠檬茶还可以
超值抢购单人套餐",2020,set(),set()
503,餐饮评论-2681,Hello炸鸡（方兴店）,"好喝！杯子的贴纸好可爱哈哈哈，淡淡的香味冰凉的口感，喜欢抹茶的快买8。店主姐姐也很可爱的
杰伦同款奶茶2选1",2020,set(),set()
504,餐饮评论-2682,CAKE情迷黑森林,"挺好吃的 性价比也非常高 推荐！
蛋糕2选1,约1磅，圆",2020,set(),set()
505,餐饮评论-2683,果之度（迎宾三路店）,"值得一吃。不过有点小贵
3磅榴莲千层蛋糕1个，约9英寸，圆形",2020,set(),set()
506,餐饮评论-2684,优乐堡（开发区店）,"不错不错，价格超级实惠，又香又脆，良心作品
超抵鸡腿堡2个，建议单人使用",2020,set(),set()
507,餐饮评论-2685,小乔紫菜卷（小乔店）,"嗯，已经吃过好多次啦。每次都是吃那个鸡柳卷，我觉得还不错。
日式鸡柳卷1份，提供免费WiFi",2020,set(),{'WiFi'}
508,餐饮评论-2686,小乔紫菜卷（小乔店）,"我都已经不知道是第几次去吃啦。反正价格和味道都还不错吧。
日式鸡柳卷1份，提供免费WiFi",2020,set(),{'WiFi'}
509,餐饮评论-2687,小乔紫菜卷（小乔店）,"我儿子最喜欢吃这个紫菜卷，就是鸡柳的，嗯，每次都要吃两份。
日式鸡柳卷1份，提供免费WiFi",2020,set(),set()
510,餐饮评论-2688,盛香烧鹅（东方市场店）,"我儿子最喜欢这里的烧鸭
主食3选1，有赠品",2020,set(),set()
511,餐饮评论-2689,Hello炸鸡（方兴店）,"小清新的炸鸡店老板娘也是杰伦的粉丝哦炸鸡很脆很好吃，下次去吃吃别的口味看看！！！下次还要去吃炸鸡喝奶茶
韩式炸鸡7选1，提供免费WiFi",2020,set(),set()
512,餐饮评论-2690,顺德火焰醉鹅坊（站北五路店）,"份量可以，味道不错，值得推荐
3-4人火锅套餐",2020,set(),set()
513,餐饮评论-2691,Hello炸鸡（方兴店）,"店铺很精致小巧，老板也很可爱很热情！
杰伦同款奶茶2选1",2020,set(),{'杰伦'}
514,餐饮评论-2692,鲜饮时光（高州店）,"好吃，多次购买了，大家可以放心购买
招牌原味紫菜卷1份，可免费使用包间",2020,set(),set()
515,餐饮评论-2693,CAKE情迷黑森林,"还行
雪媚娘/芒果千层切件2选1",2020,set(),set()
516,餐饮评论-2694,果之度（迎宾三路店）,"买了两次了，很不错！家里人吃了都说好吃
榴莲千层蛋糕1个，约2磅，圆形",2020,set(),set()
517,餐饮评论-2695,顺德火焰醉鹅坊（站北五路店）,"这个价钱有这个份量是不错的。4个大人，4个小孩都吃得饱了，而且也不辣。但就是味道咸些。不过这个重口味是几乎是外面所有餐馆的共性。而且，服务态度也不错。
6人套餐，提供免费WiFi",2020,set(),set()
518,餐饮评论-2696,顺德火焰醉鹅坊（站北五路店）,"此次用餐总体来说不错，觉得比较认可的地方有：份量充足、口味不错、环境优美、服务到位。
2人醉鹅火锅套餐",2020,set(),set()
519,餐饮评论-2697,顺德火焰醉鹅坊（站北五路店）,"这次就餐整体感觉很赞，比较满意的方面有：口味不错。
3-4人火锅套餐",2020,set(),set()
520,餐饮评论-2698,功夫鸡排（光华北路店）,"鸡排很好吃，脆脆的，量挺多的，很不错
小吃6选1，提供免费WiFi",2020,set(),{'WiFi'}
521,餐饮评论-2699,Hello炸鸡（方兴店）,"好喝好看 店主姐姐很可爱 位置有一点点难找哈哈哈。
杰伦同款奶茶2选1",2020,set(),{'杰伦'}
522,餐饮评论-2700,CAKE情迷黑森林,"好吃 多次光临了
榴莲千层卷1个，提供免费WiFi",2020,set(),{'WiFi'}
523,餐饮评论-2701,爵士厚牛排自助餐馆（汇丰店）,"来过几次了，感觉这次的牛排味道非常好！还有各种小吃。。。
全部菜品2选1，有赠品",2020,set(),set()
524,餐饮评论-2702,优之品西点,"奶油香甜，但不是很甜的那种，喜欢
蛋糕6选1,约6英寸，圆形",2020,set(),set()
525,餐饮评论-2703,果之度（为民店）,"还行
19.8元甜品组合套餐，建议单人使用",2020,set(),set()
526,餐饮评论-2704,果之度（为民店）,"还行
榴莲千层切件蛋糕1件",2020,set(),set()
527,餐饮评论-2705,元晟坊蛋糕（南香公园店）,"蛋糕味道还不错的，但是如果奶油能再少点就好了
下午茶甜品3选1",2020,set(),set()
528,餐饮评论-2706,相聚时光（光明店）,"好
酸菜鱼超值套餐，建议6人使用",2020,set(),set()
529,餐饮评论-2707,十七门重庆老火锅（电白万达店）,"味道不错，之前经常去，感觉换了服务员没有之前的专业，今天特别不爽，娃娃菜很苦，跟服务员反应了，居然没人出来解释，然后点了一个脑花，一直没有上菜，问服务员说没菜了，我们不问也没有人告知，跟服务员说让她取消这道菜，她在点菜单写了退菜，回来算了一下菜钱脑花好像也收钱了…怪自己没看单呗…以后不去了…
100元代金券1张，可叠加2张",2020,set(),set()
530,餐饮评论-2708,爵士厚牛排自助餐馆（汇丰店）,"牛扒好好吃，还有烧烤，小孩子很多，周末的时候比较多人，需要排队，建议工作日去吃，食品新鲜，价格优惠，主要是自助免费吃，能吃自助的小伙伴冲啊，还有很多蛋糕奶茶之类的，还有冰激凌，交通也方便，环境挺好，推荐！
全部菜品2选1，有赠品",2020,set(),set()
531,餐饮评论-2709,优悦西餐厅（维斯顿店）,"环境很好，而且东西也很好吃，份量也足
豪华2人扒餐，提供免费WiFi",2020,{'东西'},{'WiFi'}
532,餐饮评论-2710,相聚时光（光明店）,"鸡扒好吃，分量足，但没有饭。
单人扒餐，提供免费WiFi",2020,set(),{'WiFi'}
533,餐饮评论-2711,十七门重庆老火锅（电白万达店）,"此次用餐总体来说不错，觉得比较认可的地方有：口味好。
100元代金券1张，可叠加2张",2020,set(),set()
534,餐饮评论-2712,Hello炸鸡（方兴店）,"很好喝，当时还找同学拼单来啊啊啊就是店面有点难找，还问了一下别人才知道
杰伦同款奶茶2选1",2020,set(),{'\n杰伦'}
535,餐饮评论-2713,瀛食精致料理,"味道挺好的，吃很多次了，不用过多描述，吃过的都懂，不然也不会回头。
200元代金券1张，可叠加2张",2020,set(),set()
536,餐饮评论-2714,优悦西餐厅（维斯顿店）,"很满意的一次就餐体验，整体评价的话我觉得：口味不错、环境优美。
高级2人扒餐，提供免费WiFi",2020,set(),{'WiFi'}
537,餐饮评论-2715,清香面包店（车田街店）,"这次的蛋糕，有点随意了，不好吃
水果忌廉夹心蛋糕（一层）1个，约2.5磅，圆",2020,set(),set()
538,餐饮评论-2716,螺香汇·柳州螺蛳粉（官渡二路油校店）,"还行不错吃的，便宜主要是，秒杀，和老婆一起吃
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
539,餐饮评论-2717,螺香汇·柳州螺蛳粉（官渡二路油校店）,"秒杀价便宜，多搞活动，吃的还不错
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
540,餐饮评论-2718,Hello炸鸡（方兴店）,"奶茶很好喝！！炸鸡又脆又香！！老板娘也很热情！！
杰伦同款奶茶2选1",2020,set(),set()
541,餐饮评论-2719,Hello炸鸡（方兴店）,"我不允许你不知道这家宝藏店！！！炸鸡真的超级好吃！！！
韩式炸鸡7选1，提供免费WiFi",2020,set(),{'WiFi'}
542,餐饮评论-2720,元晟坊蛋糕（南香公园店）,"这里的东西从来没有不好的，经常带小朋友来上课都会来买
奶茶5选2，提供免费WiFi",2020,{'东西'},set()
543,餐饮评论-2721,螺香汇·柳州螺蛳粉（官渡二路油校店）,"便宜又好吃还会再买噢，打包费1块，吃一份螺蛳粉10块钱都不用哈哈
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
544,餐饮评论-2722,Hello炸鸡（方兴店）,"超级好吃的炸鸡，会无限回购，鲜美多汁
韩式炸鸡7选1，提供免费WiFi",2020,set(),{'WiFi'}
545,餐饮评论-2723,螺香汇·柳州螺蛳粉（官渡二路油校店）,"一般吧，觉得分量有点少，不够吃
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
546,餐饮评论-2724,Hello炸鸡（方兴店）,"店面很小，抹茶味的奶茶挺好喝的，老板娘好热情好可爱哈哈
杰伦同款奶茶2选1",2020,set(),set()
547,餐饮评论-2725,盛香烧鹅（东方市场店）,"买了三选一的券，去到店里却不能选叉烧饭。最后选了个香菇鸡，只有三块鸡肉。
香菇焖鸡饭1份，包间免费",2020,set(),set()
548,餐饮评论-2726,果之度（为民店）,"挺好吃的
榴莲千层切件蛋糕1件",2020,set(),set()
549,餐饮评论-2727,爵士厚牛排自助餐馆（汇丰店）,"还不错，中午去的话可以待到4点，不过1点多就不出菜了
火焰牛排1份，有赠品",2020,set(),set()
550,餐饮评论-2728,顺德火焰醉鹅坊（站北五路店）,"此次用餐总体来说不错，觉得比较认可的地方有：口味不错。
2人醉鹅火锅套餐",2020,set(),set()
551,餐饮评论-2729,元晟坊蛋糕（南香公园店）,"这次就餐整体感觉很赞，比较满意的方面有：口味不错。
蛋挞1个，提供免费WiFi",2020,set(),{'WiFi'}
552,餐饮评论-2730,元晟坊蛋糕（南香公园店）,"有点甜了
蛋挞1个，提供免费WiFi",2020,set(),{'WiFi'}
553,餐饮评论-2731,十七门重庆老火锅（电白万达店）,"挺不错的西瓜随便吃都挺新鲜的在美团下单有优惠我现在都想不明白优惠怎么来的我在美团用了两张券78+78=156但是账单上显示的是167元我以为要加钱，可是收银员又说不用了我也不明白是怎么回事那是不是我可以随便吃了哈哈哈哈反正挺好的
100元代金券1张，可叠加2张",2020,{'美团'},set()
554,餐饮评论-2732,十七门重庆老火锅（电白万达店）,"服务一点都不周到，好像什么都没准备好，服务员都不见着人，不会再去了，还老贵了
100元代金券1张，可叠加2张",2020,set(),set()
555,餐饮评论-2733,螺香汇·柳州螺蛳粉（官渡二路油校店）,"这次就餐整体感觉很赞，比较满意的方面有：配菜合理、口味不错、份量充足、服务到位、环境优美、菜品丰富。
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
556,餐饮评论-2734,Hello炸鸡（方兴店）,"环境可以
杰伦同款奶茶2选1",2020,set(),set()
557,餐饮评论-2735,Hello炸鸡（方兴店）,"杰伦同壹款奶茶味道好，价格划算！
杰伦同款奶茶2选1",2020,{'杰伦'},{'杰伦'}
558,餐饮评论-2736,CAKE情迷黑森林,"棒棒哒不错哦
雪媚娘/芒果千层切件2选1",2020,set(),set()
559,餐饮评论-2737,Hello炸鸡（方兴店）,"好吃了服务也好
韩式炸鸡7选1，提供免费WiFi",2020,set(),{'WiFi'}
560,餐饮评论-2738,优悦西餐厅（维斯顿店）,"老顾客了。好吃。
高级2人扒餐，提供免费WiFi",2020,set(),{'WiFi'}
561,餐饮评论-2739,优悦西餐厅（维斯顿店）,"老顾客了。
豪华2人扒餐，提供免费WiFi",2020,set(),"{'WiFi', '豪华'}"
562,餐饮评论-2740,尊宝比萨（康泰又一城店）,"总体上是挺好吃的，服务态度也很好，是个小聚一下的地方。
精彩双人餐",2020,set(),set()
563,餐饮评论-2741,大赞∙炙烧寿司（万达广场店）,"超级棒
套餐2选1，提供免费WiFi",2020,set(),{'WiFi'}
564,餐饮评论-2742,螺香汇·柳州螺蛳粉（官渡二路油校店）,"以夏天名义穿上短裙，替月亮夺走你心事
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
565,餐饮评论-2743,螺香汇·柳州螺蛳粉（官渡二路油校店）,"最近天气有点儿热，想找个人冷战一下
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
566,餐饮评论-2744,螺香汇·柳州螺蛳粉（官渡二路油校店）,"亲爱的空调，你若安好，便是晴天
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
567,餐饮评论-2745,螺香汇·柳州螺蛳粉（官渡二路油校店）,"夏天不属于我，可你属于我
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
568,餐饮评论-2746,Hello炸鸡（方兴店）,"真的超级超级好喝的，强烈推荐，抹茶味道超级nice
杰伦同款奶茶2选1",2020,set(),set()
569,餐饮评论-2747,爵士厚牛排自助餐馆（汇丰店）,"好吃
火焰牛排1份，有赠品",2020,set(),set()
570,餐饮评论-2748,优悦西餐厅（维斯顿店）,"味道还可以，就是上餐会比较慢。
精致享受单人餐，提供免费WiFi",2020,set(),set()
571,餐饮评论-2749,螺香汇·柳州螺蛳粉（官渡二路油校店）,"螺蛳粉很好吃  之前一直在美团上面点 第一次去店里吃 店里环境也很好
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,{'美团'},set()
572,餐饮评论-2750,CAKE情迷黑森林,"一如既往的好吃
蛋糕2选1,约1磅，圆",2020,set(),set()
573,餐饮评论-2751,盛香烧鹅（东方市场店）,"不错不错
主食3选1，有赠品",2020,set(),set()
574,餐饮评论-2752,瀛食精致料理,"还可以
精致双人套餐，提供免费WiFi",2020,set(),set()
575,餐饮评论-2753,优悦西餐厅（维斯顿店）,"#套餐：高级2人扒餐还不错吧，牛排挺不错
高级2人扒餐，提供免费WiFi",2020,set(),set()
576,餐饮评论-2754,爵士厚牛排自助餐馆（汇丰店）,"味道还不错，品种也很多，但都是平常菜，能每位自助餐发张特色菜卷就好了.比如一人一只鲍鱼，或烧生蚝鸡翅等
火焰牛排1份，有赠品",2020,set(),set()
577,餐饮评论-2755,相聚时光（光明店）,"感动不是爱，取悦也不是
单人套餐，提供免费WiFi",2020,set(),{'WiFi'}
578,餐饮评论-2756,十七门重庆老火锅（电白万达店）,"价格偏高，菜品很好
100元代金券1张，可叠加2张",2020,set(),set()
579,餐饮评论-2757,Hello炸鸡（方兴店）,"#套餐：韩式炸鸡 7 选 1好吃，老板娘也很好！#蒜香奶酪系列#韩式烧烤#蒜香奶酪系列#招牌香香柚子#蒜香奶酪系列#蜂蜜芥末#招牌香香柚子#蒜香奶酪系列#韩式烧烤#榴莲芝芝#韩式烧烤这些都很好吃，下次一定要试完所有味道
韩式炸鸡7选1，提供免费WiFi",2020,set(),set()
580,餐饮评论-2758,螺香汇·柳州螺蛳粉（官渡二路油校店）,"味道不错，好好吃，去了两次可以
原味螺蛳粉（粗粉/米线/面条 三选一）1份",2020,set(),set()
581,餐饮评论-2759,源丰唐茶楼（电白万达广场店）,"栗子饺很好吃哇。经常去吃
100元代金券1张，可叠加2张",2020,set(),set()
582,餐饮评论-2760,Hello炸鸡（方兴店）,"小姐姐热情好客，人很奈斯炸鸡也超级好吃()嘿狂推
韩式炸鸡7选1，提供免费WiFi",2020,set(),{'WiFi'}
583,餐饮评论-2761,Hello炸鸡（方兴店）,"份量很足哟味道真的很不错，喜欢面食的bb不要错过哈
炸酱面1份，提供免费WiFi",2020,set(),{'WiFi'}
584,餐饮评论-2762,爱可咖啡馆（茂南店）,"好吃
饮品9选1，提供免费WiFi",2020,set(),{'WiFi'}
585,餐饮评论-2763,十七门重庆老火锅（电白万达店）,"超级好吃，也去过几次了，每次都不会让我们失望，不过这次唯一的不足就是没有水果了，可能是快下班，也不想浪费吧，这个也是可以理解，有小姐姐很热情，一直问我们要不要添茶水，挺不错的，几个人一起去吃，特别带劲
100元代金券1张，可叠加2张",2020,set(),set()
586,餐饮评论-2764,CAKE情迷黑森林,"图看大个，买回来小个，不过口感总体来说可以，也不会太差。
榴莲千层/草莓千层切2选1",2020,set(),set()
587,餐饮评论-2765,果之度（迎宾三路店）,"味道还可以，3磅感觉就是小了点。
3磅榴莲千层蛋糕1个，约9英寸，圆形",2020,set(),set()
588,餐饮评论-2766,瀛食精致料理,"非常好吃！
200元代金券1张，可叠加2张",2020,set(),set()
589,餐饮评论-2767,优之品西点,"蛋糕味道不错，价格也比较适中 ，赞
蛋糕8选1",2020,set(),set()
590,餐饮评论-2768,优悦西餐厅（维斯顿店）,"这次就餐整体感觉很赞，比较满意的方面有：配菜合理、份量充足、环境优美、菜品丰富。
高级2人扒餐，提供免费WiFi",2020,set(),set()
591,餐饮评论-2769,顺德火焰醉鹅坊（站北五路店）,"很满意的一次就餐体验，整体评价的话我觉得：环境优美、菜品丰富、服务到位、配菜合理、口味不错、份量充足。
6人套餐，提供免费WiFi",2020,set(),set()
592,餐饮评论-2770,优悦西餐厅（维斯顿店）,"#套餐：高级2人扒餐环境好 东西也好吃 服务员哥哥也好看
高级2人扒餐，提供免费WiFi",2020,{'东西'},set()
593,餐饮评论-2771,爵士厚牛排自助餐馆（汇丰店）,"多次体验，好喜欢这样的自助西餐，有我喜欢的椒盐虾，蛋挞，鸡爪，下次再去
全部菜品2选1，有赠品",2020,set(),set()
594,餐饮评论-2772,清香面包店（车田街店）,"很不错，出乎意料地不错(((**)八(**)))
5磅水果夹心蛋糕1份",2020,set(),set()
595,餐饮评论-2773,Hello炸鸡（方兴店）,"可爱的小瓶瓶，好喝的奶茶
杰伦同款奶茶2选1",2020,set(),{'\n杰伦'}
596,餐饮评论-2774,CAKE情迷黑森林,"榴莲千层很好吃，虽然蛋糕不大，但是很便宜也很值
榴莲千层/草莓千层切2选1",2020,set(),set()
597,餐饮评论-2775,果之度（为民店）,"好吃
榴莲千层蛋糕1个，约3磅，圆形",2020,set(),set()
598,餐饮评论-2776,相聚时光（光明店）,"卖相可以，味道一般，吃完拉肚子！
单人套餐，提供免费WiFi",2020,set(),set()
599,餐饮评论-2777,十七门重庆老火锅（电白万达店）,"环境、服务都可以，东西也好吃！
100元代金券1张，可叠加2张",2020,{'东西'},set()
