,语料ID,产品名称,内容,年份,sn_ner,hb_ner
278,景区评论-1279,玉湖风景区,就一水库，没景点还好意思设卡收费，想钱想疯了吧,2019,set(),{'水库'}
279,景区评论-1280,十里银滩,十里银滩是全国最美十大海滩之一，海水如翡翠般清澈，沙滩似绸缎般柔软，温和清新的海风拂面，在全国大部分地方都冷得嗖嗖的时候，这里去却是面朝大海，春暖花开。是一个度假暖冬的好地方。,2019,{'十里银滩'},{'十里银滩'}
280,景区评论-1281,特呈岛温泉度假村,特呈岛的温泉度假村就位于岛上面，如果是定了这边的房间的话是可以直接从码头那边有车过来的，这样就会比较的方便，如果没有地的话，要过来这个度假村里面玩的话就要另外收费20块钱一个人，里面还是蛮大的，景观也是相当的不错，而且其实里面酒店的客房都不算是特别贵。 比较适合夏天过来，或者说是冬天，春秋的话，就会有时候会下雨。,2019,{'特呈岛'},{'特呈岛'}
281,景区评论-1282,海滨公园游乐场,海滨公园游乐场这边一到节假日就非常的热闹，这边的机动游戏还是蛮多的，甚至还有一些是在大型游乐场里面才有的非常刺激的大摆锤，在这边的消费也还算是可以的，都是按照单个项目收费，或者说是买一个套餐，价格比较适合大众，交通也方便，在这个公园里面，大人小孩都能够找到休息的地方。,2019,{'海滨公园游乐场'},{'海滨公园游乐场'}
282,景区评论-1283,金沙湾海滨浴场,远远的看到一个雕塑就能够走到这一边了，有很多的高端酒店围绕在这一个地带，可以在这里游游泳，但是的话要注意，不能够游得比较远，由于过来的时候，还是冬天，所以这边的游泳是暂时禁止的。 蓝天白云下的景色，相当不错，玩沙子的小孩也是很多的。,2019,set(),set()
283,景区评论-1284,石根山,好好好……………………………………,2019,set(),set()
284,景区评论-1285,维纳斯皇家温泉（广东阳西店）,温泉里面服务也很好，设施不错，性价比高，值得下次再来。,2019,set(),set()
285,景区评论-1286,高州仙人洞景区,好玩，就是天公不作美，下雨了，但是儿子很开心的一天,2019,set(),set()
286,景区评论-1287,霞山天主教堂,哥特式教堂建筑，精美的建筑，距离海滨公园很近，方便游览。,2019,{'海滨公园'},{'海滨公园'}
287,景区评论-1288,石根山,还没有完善好，,2019,set(),set()
288,景区评论-1289,阳西咸水矿温泉,还可以。池也很多。就是浴巾在池边不能换新的，干净毛巾。要是可以改善一下就更好了。要是还有姜茶喝更好。,2019,set(),set()
289,景区评论-1290,螺岗岭,地方小，门票又贵，螺岗小区最坑的,2019,{'螺岗小区'},{'螺岗小区'}
290,景区评论-1291,海东度假村,带小朋友可以玩玩水，环境一般，也不大,2019,set(),set()
291,景区评论-1292,南三岛,南三岛与东海岛、硇洲岛等许多岛屿组成湛江港的外围防护栏。拥有阳光、沙滩、大海、森林、名胜的东海岸以迷人的天然魅力，是嵌在富丽的南海上的一颗明珠，吸引着无数中外游客慕名观赏，成为湛江久负盛名，市民最为熟悉的景点之一。冰心大师在湛江十日中赞叹的南三联岛堤围，经过数十年的风潮侵蚀，已岌岌可危。经各级努力，其加固达标工程已列入省城乡水利防灾减灾工程项目——南三联围加固在望,2019,"{'东海岛', '南三联岛', '南三岛', '南三联围', '南海', '硇洲岛', '湛江港', '东海岸'}","{'东海岛', '南三联岛', '南三岛', '硇洲岛', '湛江港'}"
292,景区评论-1293,天马山生态旅游区,爬山好累！值得一游！！！！！！！！！！！！！！！！！！！！！！！！,2019,set(),set()
293,景区评论-1294,海东度假村,刚开业很好玩，又安静，又舒服，值得去玩,2019,set(),set()
294,景区评论-1295,海滨公园,一般的公园 就是靠近海边 去观海长廊必经之路,2019,set(),{'观海长廊'}
295,景区评论-1296,广垦（茂名）国家热带农业公园,晚上灯光夜景好美，特别是5D好看,2019,set(),set()
296,景区评论-1297,谢鞋山,就冲玻璃桥去的，各种乱收费，玻璃桥一眼看去就那么一点，开业就被政府封了，进去还要20门票，玻璃桥另收费，里面一点特色也没有，花钱进去爬烂山头，下来还领一身蚊子包回去。,2019,"{'玻璃', '玻璃桥', '桥'}",set()
297,景区评论-1298,广垦（茂名）国家热带农业公园,好玩，景美！下次一定会再来玩！下次和老婆女儿一齐来欣赏欣赏这里的景色！,2019,set(),set()
298,景区评论-1299,广垦（茂名）国家热带农业公园,不错，景点一般般吧。不值这个价钱。,2019,set(),set()
299,景区评论-1300,崆峒岩风景区,景色一般，附近的可以去散步健身。如果是外省特意来阳江旅游，建议去5A级景区,2019,set(),{'阳江'}
300,景区评论-1301,闸坡,海边比较干净，很舒服，值得一去。,2019,set(),set()
301,景区评论-1302,御水古温泉旅游度假区,环境优雅服务态度非常好有礼貌玩得很开心,2019,set(),set()
302,景区评论-1303,寸金动物园,门票不算贵，动物种类也比较多，总体不错。,2019,set(),set()
303,景区评论-1304,御水古温泉旅游度假区,茂名御水古温泉是一个值得去的地方，房间干净舒服，温泉水也干净，晚上还有演出，景色也很优静，自助餐厅品种多，口味不错，服务人员态度好，见到客人都问好，去一次还想去的地方！,2019,{'茂名御水古温泉'},set()
304,景区评论-1305,天马山生态旅游区,"天马山被称为广东的香格里拉,山顶的高山草场实属罕见。地处两广交界，自然生态保护完美，层岭叠嶂，飞瀑溪流，是天然的大氧吧，是岭南的避暑胜地。这里原始而生态，亦若世外桃源。可以三五好友夜宿苗寨客栈，晨登山顶一览南国草原。",2019,"{'高山草场', '岭南', '苗寨客栈', '香格里拉', '南国草原', '天马山'}","{'苗寨客栈', '天马山'}"
305,景区评论-1306,十里银滩,如果要在国内找如同这样人少，干净的沙滩恐怕比较困难了。早晚5点左右是退潮的时间，可以在滩涂上挖贝类。唯一比较遗憾的不能游泳。,2019,set(),set()
306,景区评论-1307,瀛州公园,高州市瀛洲公园 位于广东省高州市沿江南路，鉴江河畔，与宝光塔隔江相望，距高州汽车总站约600米。瀛洲公园占地面积60亩，公园内绿草如茵，弯曲的小径将公园分为几个小区，种有不同的花草图案和奇形各异的风景树。,2019,"{'瀛洲公园', '高州市瀛洲公园', '沿江', '南路', '高州汽车总站', '鉴江河', '宝光塔'}","{'瀛洲公园', '高州市瀛洲公园', '鉴江河', '宝光塔', '沿江南路'}"
307,景区评论-1308,广垦（茂名）国家热带农业公园,绿树丰茂，空气清新，陡步好地方。,2019,set(),set()
308,景区评论-1309,御水古温泉旅游度假区,还在扩大完善中，环境舒适，消费适中，只是配套服务还欠佳。期待下回去好心境。,2019,set(),set()
309,景区评论-1310,沙扒湾,阳江沙扒湾开发很多年了，比较成熟，环境可能有点旧了，海滩也不算特别出色，目前都去新开发的海陵岛...讲究环境的可能失望呀,2019,"{'沙扒湾', '阳江', '海陵岛'}","{'海滩', '阳江沙扒湾', '海陵岛'}"
310,景区评论-1311,乐天温泉度假村,好玩，适合亲子游，下次全家一起来，不过周末太多人了。,2019,set(),set()
311,景区评论-1312,沙扒湾,越来越美了， 【景色】美 【趣味】多 【性价比】高，实惠,2019,set(),set()
312,景区评论-1313,旺同公园,去的时候是国庆节后，不收费，也没太多游乐项目，不过景色很美景区很悠闲,2019,set(),set()
313,景区评论-1314,御水古温泉旅游度假区,环境很好！天然温泉池很多，服务不错！,2019,set(),set()
314,景区评论-1315,冼太庙,高州特色，高州特色，高州特色，高州特色，高州特色,2019,set(),set()
315,景区评论-1316,塘山岭生态公园,塘山岭生态公园是廉江名副其实的“后花园”。空气清新、鸟语花香。公园建有牌楼、大钟阁、书香亭、登山阶梯、山顶凉亭等。进园，标志性建筑大钟阁高大雄伟。每日前来公园健身的市民络绎不绝。,2019,"{'大钟阁', '后花园', '大钟', '塘山岭生态公园'}","{'大钟阁', '后花园', '塘山岭生态公园'}"
316,景区评论-1317,黎村温泉,温泉度假村环境不错，水质很好。,2019,set(),set()
317,景区评论-1318,十里银滩,广东第四大岛的海陵岛，空气清新，风景秀美，气候宜人，因阳光、沙滩、海浪、海鲜而知名，十里银滩国家级海洋公园，是其中一个比较著名景点，与有着海上敦煌之称的广东海上丝绸之路博物馆相邻，在参观完博物馆之后，看看海景看看落日，感受生活的美好…,2019,"{'十里', '海陵岛', '广东海上丝绸之路博物馆', '银滩'}","{'十里银滩国家级海洋公园', '博物馆', '海上丝绸之路博物馆', '海陵岛'}"
318,景区评论-1319,湛江博物馆,免费，在公园后门，整洁，值得一去！,2019,set(),set()
319,景区评论-1320,广垦（茂名）国家热带农业公园,好玩的地方。环境好，非常适合一家人去玩。就是位置偏僻了一些。,2019,set(),set()
320,景区评论-1321,阳西咸水矿温泉,票价合理，环境不错，有时间可以常去，下次可以带上家人一起，真好,2019,set(),set()
321,景区评论-1322,广垦（茂名）国家热带农业公园,带小朋友了解一下农业。小朋友开心，学习到很多知识。多接触多了解。,2019,set(),set()
322,景区评论-1323,高州仙人洞景区,山好水好景美空气新，适合周末度假。山好水好景美空气新，适合周末度假。山好水好景美空气新，适合周末度假。山好水好景美空气新，适合周末度假。山好水好景美空气新，适合周末度假。山好水好景美空气新，适合周末度假。山好水好景美空气新，适合周末度假。山好水好景美空气新，适合周末度假。,2019,set(),set()
323,景区评论-1324,渔港公园,临近千岛湖的一个开放式小公园，路过，看花红柳绿颜色正美，停下顺便看看。 远眺还是可以看到千岛湖的，水面清澈幽兰，但略显单调，反不如这小公园姹紫嫣红来的有趣 只有阳光好，水源充盈，景色都不会差，不愧江南，放眼望去全是景,2019,"{'江南', '千岛湖'}","{'江南', '千岛湖'}"
324,景区评论-1325,天马山生态旅游区,小溪瀑布、原始森林很妙，不错，大草原也美。,2019,{'小溪瀑布'},set()
325,景区评论-1326,广垦（茂名）国家热带农业公园,空气比较好，科普下农业知识，但票价偏贵！,2019,set(),set()
326,景区评论-1327,天马山生态旅游区,里面游乐设施少，方向指示牌缺失，玻璃桥太短了，不具有参与性。希望老板能够增加投入，完善一下基础设施建设。,2019,{'玻璃'},set()
327,景区评论-1328,阳西咸水矿温泉,就是一个楼盘，在闹市中出现的一个温泉，很小很小，池与池之间很窄，池子又小，不知道是不是天然的呢。但是服务还是可以的。,2019,set(),set()
328,景区评论-1329,天马山生态旅游区,一次不错的家庭活动，但景区在这方面还需改进：大草原线路沿路指引未够清晰；设施还需完备；卫生状况不太好。,2019,{'大草'},set()
329,景区评论-1330,敏捷欢乐黄金海岸,房子，设备，沙滩，都是比较新的。来海陵岛就不用再在大角湾那边挤了。不过这边配套等确实还需要加强啊。还有住了一晚几栋大楼居然超负荷停电几个小时，好在海风还凉爽，真是难忘的一个五一假期哦,2019,"{'大角湾', '海陵岛'}","{'大角湾', '海陵岛'}"
330,景区评论-1331,广垦（茂名）国家热带农业公园,带小孩可以值得去，就是比较偏僻了,2019,set(),set()
331,景区评论-1332,长坡旧城,离高州市区有些距离，靠近高州水库。可想到这片现在只是长坡镇下辖的一个村庄，在古时候曾是电白郡、粤西政治经济文化中心高州府的治所。不过目前，只剩下一座不久前重修的西城门，“城内”除了还遗存着密集的房屋，几乎没有留下多少痕迹了。倒是村落中心有座冼太庙很具规模，并号称是中华第一冼太庙。来到这里，有种莫名的沧桑感。,2019,"{'座冼', '高州水库', '冼', '太庙', '中华第一'}","{'高州水库', '冼太庙'}"
332,景区评论-1333,广垦（茂名）国家热带农业公园,比售票点便宜，景区还可以，有几个场馆，适合一家人出游的地方。,2019,set(),set()
333,景区评论-1334,金沙湾海滨浴场,非常有三亚风范，而且不用那么贵！椰林，沙滩遮阳亭，一派热带风光，环境很干净，沙子很细，很多人在放风筝。旁边有不少停车位，商场餐厅酒店都有。,2019,set(),set()
334,景区评论-1335,大仁山风景区,天马山不错跟朋友一起去的，玩得很开心,2019,{'天马山'},{'天马山'}
335,景区评论-1336,天马山生态旅游区,景点一般般，门票价格太高，不值得。性价比真的无语，路标不清晰。配套设施不齐全，景色与一般的南方山区差别不大。,2019,{'南方山区'},set()
336,景区评论-1337,中国第一滩旅游度假区,去过北方的海滩就会觉得南方的海滩是天堂，沙子细腻，不硌脚。第一滩都算挺干净，垃圾不多，海水挺清澈，可以沿着沙滩走几公里。浪不大，适宜游泳。,2019,set(),set()
337,景区评论-1338,吉兆湾,适合短途的周边游，周末放松还是不错的，现在又有很大的水上乐园，家庭出游很棒,2019,set(),set()
338,景区评论-1339,瀛州公园,"夜景超赞！晚风吹动着树叶,月光拉长着一对对恋人的身影,公园的夜色,自然也少不了精心的点缀,这该是个静寂而又热闹,冷清而又浪漫的夜吧. 【景色】 【趣味】",2019,set(),set()
339,景区评论-1340,中国南极长城站,【中国南极长城站】 很幸运，这一次去南极拜访了中国长城站。 在南极登陆的最后一天，我们登陆了这里，做为南极行程的压轴。 长城站相较于之前拜访的阿根廷布朗站要大出非常多，并且设备也相对齐全。 红旗在南极上空风中迎风飘扬，身为中国人，在这一刻，大家心中都感到无比自豪。 长城站的登陆时间十分严格，不能超过45分钟。,2019,"{'南极', '南极长', '布朗站', '长城站'}",{'南极'}
340,景区评论-1341,闸坡,海的味道，细腻干净的沙子，度假首选。,2019,set(),set()
341,景区评论-1342,敏捷欢乐黄金海岸,好玩，小孩 大人都玩得很开心。。。,2019,set(),set()
342,景区评论-1343,广垦（茂名）国家热带农业公园,游玩项目太少了，卫生差。小卖部卖过期东西，有些地方推婴儿车又不方便，应该多设置适合各方面类型的路线好点。,2019,set(),set()
343,景区评论-1344,阳西咸水矿温泉,果真是真的咸水真温泉，只是设施比较旧,2019,set(),set()
344,景区评论-1345,阳西咸水矿温泉,是咸水的温泉。就是设施有点旧，特别是拖鞋太差了，穿着刺脚的，走几步脚就痛了，建议泡温泉的游客自带拖鞋。,2019,set(),set()
345,景区评论-1346,敏捷欢乐黄金海岸,很开心的一次旅行，真的广东吃的好多 美味的海鲜，很好玩的景区，孩子很开心，皮划艇项目很不错，孩子第一次体验了,2019,set(),set()
346,景区评论-1347,长坡旧城,历史总是无情地见证着地理的变迁，若不是来之前做了些功课，也不知道一个远离县级高州市的小村庄，竟是号称粤西第一的高凉郡曾经之郡治所在地。而如今，除了复建的西城门，看不出太多的痕迹，在村落边有一些残垣及坑沟，据说就是旧城墙和护城河的遗址。而在村落的中心，有座很大的庙宇，号称中华第一冼太庙，可见当年曾经非常辉煌。,2019,"{'冼', '粤西'}","{'粤西', '护城河', '中华第一冼太庙'}"
347,景区评论-1348,中国南极长城站,中国南极长城站位于著名的半月岛之上，这里是我们中国人南极游必到的景点之一。长城站的占地面积非常的大有许多建筑组成，内部设施非常的完备，有工作区，生活区，休闲娱乐区，以及其他的一些设备区域，参观完长城站，不得不赞叹祖国现今的伟大，一种自豪感，自然的由心底而发。,2019,"{'南极长城站', '长城站', '完长', '城站', '岛', '半月', '南极'}","{'半月岛', '南极', '中国南极长城站', '长城站'}"
348,景区评论-1349,海滨公园,典型的海滨公园，有娱乐有海景还有花草树木，最值得一提的是摩天轮，转到顶上看下来，半个霞山区都在脚下，海滨城市的风景还是挺美的。,2019,"{'霞山区', '海滨公园'}",{'海滨公园'}
349,景区评论-1350,石根山,风景不错风景不错不错不错不错不错,2019,set(),set()
350,景区评论-1351,金沙湾海滨浴场,有观海长廊、海滨浴场，双子岛、水上运动中心等景点。休闲躺椅在遮阳伞下排列整齐，成为一道风景。白色沙丘、碧绿椰林、蓝色大海，令人心旷,2019,"{'水上运动中心', '双子岛', '观海长廊'}","{'水上运动中心', '双子岛', '观海长廊', '海滨浴场'}"
351,景区评论-1352,古郡水城,今天6丶1儿童节，我昨天预订了孩子的门票，今天到古郡水城购票处拿票，售票员说我孩子的可免票进场玩，叫我找**、携程客服退孩子的门票，结果打**电话（贴于购票处窗口上方的）说不关他们的事，让我自己找人想办法，而在携程这个APP上又没有退费入口，总结一句话，购票服务员好心提醒的说话只能算善意的谎言。,2019,"{'票处', '携程'}",set()
352,景区评论-1353,南国热带花园,湛江中心城区的大公园，植物很多，景色不错，周边还有大润发，必胜客，华和国际酒店等用餐,2019,"{'必胜客', '华和国际酒店', '大润发'}","{'必胜客', '华和国际酒店', '大润发'}"
353,景区评论-1354,湛江博物馆,湛江博物馆二，湛江人民抗法斗争陈列馆。湛江以前叫做遂溪，1898年到1999年，遂溪人民抗击法国强行将划至广州湾租界地。主题突出，气氛感人。从广州湾港，湛江通过大量的历史照片和实物，展示了湛江100多年的发展历程，史料丰富翔实，呈现一个真实的充满生机，有开放包容的湛江。,2019,"{'湛江博物馆', '湾港', '广州', '湛江人民抗法斗争陈列馆'}","{'广州湾租界地', '湛江博物馆二', '湛江人民抗法斗争陈列馆'}"
354,景区评论-1355,大通街,大通街是赤坎老城核心街道，也曾经是湛江商贸最发达的地域之一。赤坎区原是只是个海边的古商小埠，早在宋代就已成雏形。自从清康熙年解间除长达200余年的海禁后，海运商贸迅速发展。闽浙、广潮、琼崖商户纷纷从海上到赤坎经商，高雷一带商人也从陆路接踵而至贸易，赤坎逐渐形成了繁荣的商埠。,2019,"{'闽浙', '大通街'}",{'大通街'}
355,景区评论-1356,湛江博物馆,湛江博物馆四，馆藏陶瓷精品展。也在二楼，有数千件的陶瓷精选出来的展品。按那个年代顺序，展示中国陶瓷发展概况和一些岳西陶瓷特色，展厅宽敞，色彩协调照明，着重突出展品，观众可收获到艺术的熏陶。,2019,{'湛江博物馆'},{'湛江博物馆'}
356,景区评论-1357,湛江博物馆,湛江博物馆五，湛江市非物质文化遗产展览。收集了湛江人龙舞，遂溪醒狮，雷州石狗等41个列入全国、省、市非遗保护项目，图文并茂，场景造型结合，生动形象地展示了湛江市非物质文化遗产独特的艺术魅力，周一闭馆，其他时间上午下午都开放。免费参观，是爱国主义教育基地。,2019,{'湛江博物馆'},{'湛江博物馆'}
357,景区评论-1358,冼太庙,很值得去。很有历史风味，很感染人！ 【景色】,2019,set(),set()
358,景区评论-1359,御水古温泉旅游度假区,好好玩，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，很好玩。。。。。。。。。。。。。。。。。。。。自助餐不错…………………………………………………………………………………………,2019,set(),set()
359,景区评论-1360,沙扒湾,白天景色该是不错的，晚上退潮后满地垃圾，很多人放孔明灯和烟花，只能说，若是挑个干净的地方吹海风还是很不错的,2019,set(),set()
360,景区评论-1361,鼎龙湾德萨斯水世界,很刺激，非常好玩，也非常安全，并有表演和异国风味，期待下次再来,2019,set(),set()
361,景区评论-1362,玉湖风景区,到玉湖风景区一定要游船，要不就感觉白来了！非常适合跟家人朋友一起来！,2019,{'玉湖风景区'},{'玉湖风景区'}
362,景区评论-1363,南国热带花园,【景色】南国热带花园位于湛江市城市中心区，面积64公顷，是一个集生态保护、科普教育和观赏娱乐于一体的园林式公园。里面栽种了近700种热带观花植物和乡土植物。尤其是里面的鼎能苑，据说这是广东面积最大的一个荫生植物园，里面有不少是珍稀植物,2019,"{'南国热带花园', '中心区', '鼎能苑'}","{'南国热带花园', '鼎能苑'}"
363,景区评论-1364,乐天温泉度假村,kskskksksknanananananannn开会时间看柯南曼内斯曼曼内斯曼你少男少女的惊喜惊喜惊喜就继续难兄难弟那你到哪都能拿到你的奶奶大男大女的亟待解决的你的加拿大籍心心念念想,2019,set(),set()
364,景区评论-1365,露天矿生态公园,一个人工造的矿坑，周围环境很好。去之前看过视频，本来我朋友都说不信水有这么清，结果去到水的确很清。如果时间充足去那边走一走，也是很不错的！还不用门票。,2019,set(),set()
365,景区评论-1366,白水瀑布,白水瀑布位于阳江阳春市八甲镇10多公里外的崇山峻岭中。瀑布垂直落差达255米，犹如一匹长长的白练，飘挂在高山林海当中。从上往下数，飞泻而下的瀑布，迭叠成了13个层次，因此又被称为“十三迭”。瀑布泻下的深潭叫响水潭，传说响水潭在晴天时突然发出一种响声，则即将放晴。 在下游还有这种玩意鸭，钓螃蟹,2019,"{'白水瀑布', '水潭'}","{'阳江', '响水潭'}"
366,景区评论-1367,天马山生态旅游区,风景很不错，山不是很高，但是登顶风景很美，一览众山小。云山雾绕，犹如仙境。环境很好，很干净，保护的不错。当地吃的也不错。,2019,set(),set()
367,景区评论-1368,高州仙人洞景区,我觉得我这次高州仙人洞一日游，可以用一句话概括:我不负你，你予我仙境！这趟两人游，虽然有点累，但是也是大饱眼福！先说说高州深镇镇的山路，那是真正的山路十八弯，路两旁一边是沉积的高高的岩崖，一边是让人触目惊心的悬崖，下面是布满巨石的深深的谷地，古地的高地上栖息着几户人家，一级级梯田像路一样横着延伸，路上偶尔遇到几个背着书包拿着伞却不开的小孩，脸蛋红红有说有笑。宾馆的服务态度很好，仙人洞景区有自然空调，是避暑的好地方。山上云雾缭绕，宛如仙境，悬泉瀑布，飞溯其间。好一处人间仙境！,2019,{'高州仙人洞一日'},{'高州仙人洞'}
368,景区评论-1369,中国第一滩旅游度假区,一般般的海，也不差也不突出，就和我去的其它的海一样，不过是免费的，这还好。,2019,set(),set()
369,景区评论-1370,广垦（茂名）国家热带农业公园,离我家不远，周末不花大钱当到户外逛逛，小孩子开电动船很开心，值得附近的人一日游！,2019,set(),set()
370,景区评论-1371,中国南极长城站,这里是一片净土，这里远离城市的喧嚣，这里是我一直梦想登临的南极。我一直认为南极是望尘莫及之地，而眼前呈现的气势磅礴的冰川，呆萌可爱的帝王企鹅，慵懒的海豹，简直不可思议，很是震撼。这里是它们了家园，人类是入侵者。那里气温零下二十多度，兴奋之极，到也不觉得冷啦。因为要从南美洲上船，还要带着夏装。,2019,"{'南极', '南美洲'}","{'南极', '南美洲'}"
371,景区评论-1372,潮州风吹岭石刻群,潮州柘林风吹岭是个值得去游玩的地方啊！风吹岭，岭高面海，一年四季，风声飒飒，故名曰风吹岭。站在岭顶往东眺望，沧海万顷，水天浩渺，闽粤的高峰岛屿如泥牛入海，甚为壮观,2019,set(),set()
372,景区评论-1373,放鸡岛生态旅游国际度假区,和家人一起去的，全程步行:码头——野菠萝公园——天后宫——鸡冠石。不过天后宫基本没怎么看，一共用了不到5个小时。因为赶不上9点那班船所以坐得11点的船上岛，因此主要游玩时间在下午，大部分景点都有遮阴，但还是很热，请各位注意防晒。,2019,"{'天后宫', '野菠萝公园', '鸡冠石'}","{'天后宫', '野菠萝公园'}"
373,景区评论-1374,硇洲岛,岛上保留了原始的自然景观，风光秀丽，本土气息很浓厚，是一个得天独厚的岛屿，主要问题就是岛上没有链接陆地的公路，主要都是靠来往大船运输车辆。,2019,set(),set()
374,景区评论-1375,高州仙人洞景区,这是一个森林瀑布集中分布区，这里除了分布着大片的杜鹃林、千亩竹海、原始森林和天然瀑布群，还有珍稀植物禾雀花。是个令人心情愉悦的地方。,2019,set(),set()
375,景区评论-1376,高州市宝光塔,【景色】 宝光塔俗称“粉塔”，位于高州城西鉴江边上，该塔具有较高的历史、科研和艺术价值，是广东省文物保护单位。四百多年来，宝光塔步履蹒跚，经历了风风雨雨，尘埃洗去，向我们讲述过去的故事。,2019,"{'鉴', '宝光', '粉塔'}","{'宝光塔', '鉴江', '粉塔'}"
376,景区评论-1377,中国第一滩旅游度假区,暑假了，有空带小孩到这里游玩是挺不错的选择。海水还算清澈，|在海边玩泥沙，玩水挺不错的。就是要注意防晒。免费的。,2019,set(),set()
377,景区评论-1378,文光塔,环城有三塔，北曰艮塔，东曰文光，西南曰宝光。外形似笔杆，塔刹似笔锋，故称文笔塔。 塔为八角七层楼阁式砖塔，文光塔具有一定的历史、科学和艺术价值，现为高州市（县级）文物保护单位。地址文笔路少年宫附近,2019,"{'文笔塔', '文笔', '年宫', '文光塔', '宝光', '路少', '文光'}","{'文笔塔', '艮塔', '文光塔'}"
378,景区评论-1379,高州观山,高州观山，虽是一座小山丘，却有悠久历史，是高州市名山之一。 观山寺是以道教为主体的宗教群体建筑。在中国历史上，林林总总的宗教信仰和民间信仰名目繁多，结构复杂。代表着相应宗教信仰的宗教建筑也遍布各地，其中佛教和道教尤为突出。观山寺是属于道教的群体建筑。包括潘仙殿、观山寺、玉泉寺等。 悠悠小路走过去到达高州革命烈士陵园，该陵园总进深90.5米，面阔25.4米，共分陵门、陵碑、陵墓三个区。 陵门区有三拱牌坊一座，总宽9.4米。牌坊上方的牌额上，制作有“烈士陵园”四字。在牌坊后方，建有台阶45级，与陵碑区相连。,2019,"{'烈士陵园', '高州观山', '玉泉寺', '高州革命烈士陵园', '潘仙殿', '观山寺', '道教'}","{'陵门', '烈士陵园', '玉泉寺', '高州革命烈士陵园', '潘仙殿', '观山寺'}"
379,景区评论-1380,广东海洋大学,学校正在启动校园环境整治工作，校园门口的脏乱差问题会很快得到,2019,set(),set()
380,景区评论-1381,塘山岭生态公园,首先进入眼帘的，是当地的广播电视发射塔，然后才是整个风景。我们去的季节不对，看到别人的照片，听说最美的时候就是橙子结果的时候。看这张照片的确是这样。,2019,{'广播电视发射塔'},set()
381,景区评论-1382,南海1号一号银滩（十里银滩）,景色超赞，安全做得很足，还有免费救生衣冲浪，门票稍贵，停车外面要20元,2019,set(),set()
382,景区评论-1383,阳西咸水矿温泉,很好，很满意，下次还会再来的，服务特别好。,2019,set(),set()
383,景区评论-1384,中国南极长城站,南极长城站是中国在南极成功建成的第一个南极科学考察基地，以中国万里长城命名。南极洲的暖季是每年的11月至次年的3月，该季节是去南极洲考察的最佳时间极地地区是个自然资源的“大仓库”，它的地下埋藏着丰富的矿产，地上储存着大量的固体淡水，周围栖息着无数的海洋生物，还有未经人类雕琢的自然环境。,2019,"{'城站', '南极洲', '南极', '南极长', '极地'}","{'南极', '南极洲', '万里长城'}"
384,景区评论-1385,鼎龙湾欢乐海岸,鼎龙湾国际海洋度假区的海非常美，直接面向南海，一望无际，沙滩也很美，景区正在开发中，特别大，吃喝玩乐都齐全，性价比高，是度假的胜地。,2019,"{'南海', '鼎龙湾国际海洋度假区'}",{'南海'}
385,景区评论-1386,海滨公园,值得去。尤其带小孩应该去，有摩天轮等娱乐设施，关键人不是那么拥挤，很休闲。公园边上就是游船码头去特呈岛等就可以在此乘船游玩了。,2019,{'特呈岛'},{'特呈岛'}
386,景区评论-1387,中国南极长城站,长城站是中国极地研究中心在南极建立的第一个科学考察站，位于南极洲西南，乔治王岛的南部。如今长城站成为了中国人到南极旅游必到的地方，就算不能登陆，即便在船上遥远地望到那红色的外墙，也是一件让人无比激动的事。,2019,"{'乔治王岛', '长城站', '中国极地研究中心', '南极', '南极洲'}","{'南极', '中国极地研究中心', '乔治王岛', '南极洲'}"
387,景区评论-1388,谢鞋山,差评！差评！差评！我买了9张票，门口验票既然数岀8张，门口负责人要求另一个人再买一张，幸好我是用微信支持有记录。一张票209人=180+3台车一台10块=210元。十几个人(包括小孩和军人免票)在门口吵了一架，旅游心情严重受影响。希望湛江市旅游局廉江市旅游局两级有关部门前往监督。谢谢！,2019,{'湛江市旅游局廉江市旅游局'},{'湛江市旅游局廉江市旅游局'}
388,景区评论-1389,广垦（茂名）国家热带农业公园,因为带着孩子，下午在公园里游了两个小时就出来了。公园好大，只去了几个主要景点。很多地方都是网红拍照打卡点，但孩子说没有玩的东西。如果有些健身器材就好啊！最后到公园入口的湖喂金鱼，孩子好乐啊！大家记得上网买票，在公园要买38元一张。,2019,set(),set()
389,景区评论-1390,御水古温泉旅游度假区,环境不错，服务态度超级好，尤其是前台的黄盘珠服务很细心很周到，下次还会去，有温泉还有大型的水上乐园还是温泉水很适合亲子游，早餐很丰富…,2019,set(),set()
390,景区评论-1391,广垦（茂名）国家热带农业公园,去的时候有点晒，空气很好，植物较多,2019,set(),set()
391,景区评论-1392,广垦（茂名）国家热带农业公园,地方很大，水果很多，风景还行。,2019,set(),set()
392,景区评论-1393,高州仙人洞景区,就是路程太远，建议自驾游，而且最好车技术要非常好，因为进村以后山路十八弯,2019,set(),set()
393,景区评论-1394,高州仙人洞景区,这时候山里温度令人很舒服，环境不错，值得游玩！,2019,set(),set()
394,景区评论-1395,旺同公园,去年刚刚提升改造了一下，景色很美，,2019,set(),set()
395,景区评论-1396,石根山,下小雨爬山，路有些滑，下山脚抖，也不开放滑管道,2019,set(),set()
